procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14 820680 267816 142052 5450992   40    0  9096 20947 5601 16853  2  1 64 32  0
 0 16 820668 267356 142052 5451008   28    0  9676 20722 5402 17788  3  1 66 30  0
 2 15 820636 267596 142060 5451024   32    0  9632 20782 5040 17146  2  1 66 30  0
 2 15 820620 266716 142060 5451044   44    0 10284 21241 6181 17676  3  1 65 31  0
 2 15 820604 266784 142060 5451088   16    0  9952 20675 4725 17538  2  1 64 33  0
 0 16 820572 267372 142060 5451072   48    0 10112 20963 4385 16729  2  1 67 30  0
 1 15 820532 266448 142060 5451048   40    0  9560 20826 4361 16749  2  1 64 33  0
 1 15 820504 266828 142068 5451032   44    0  8828 20727 5693 16839  2  1 61 36  0
 0 16 820468 267352 142068 5451084   28    0 10140 21047 6085 17929  3  1 60 36  0
 0 16 820428 269284 142068 5451140   36    0 10580 21255 6066 18822  2  1 59 37  0
 0 16 820408 266672 142068 5451168   40    0  8328 20823 5792 15891  2  1 61 36  0
 2 14 820388 266496 142068 5451216   24    0  9224 20730 5458 16102  2  1 60 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14 820340 266656 142076 5451252  108    0 10428 20681 6074 18656  2  1 58 38  0
 1 15 820328 265940 142076 5451276   80    0 10032 21036 6150 18056  3  1 57 39  0
 2 15 820312 265832 142076 5451288   20    0  8596 20909 4873 15168  2  1 61 36  0
 2 14 820308 265436 142076 5451404    8    0  9352 20640 4515 16218  2  1 62 34  0
 1 15 820288 264724 142076 5451432   20    0 10260 20909 4907 17870  2  1 63 34  0
 0 16 820240 266516 142084 5451452   56    0  7944 21002 4182 14523  2  1 68 29  0
 0 16 820188 265036 142084 5451420   68    0  8740 21115 6135 15808  2  1 64 32  0
 1 16 820148 268368 142084 5451508   28    0  9244 20874 5212 16743  2  1 61 36  0
 2 15 820124 267020 142084 5451548   36    0  8084 21232 6419 14373  2  1 66 31  0
 1 15 820112 265640 142084 5451580   40    0  9192 20862 5699 17205  2  1 63 34  0
 0 16 820100 265004 142096 5451616    8    0  9512 20823 5378 16240  2  1 67 30  0
 1 15 820092 265952 142096 5451688   24    0 10200 20767 4985 17590  3  1 65 32  0
 1 16 820056 265364 142096 5451716   60    0 10188 21177 5164 17411  2  1 69 27  0
 1 15 820044 265688 142096 5451796   20    0  8644 20865 4138 16078  2  1 69 28  0
 0 16 820020 264940 142096 5451852   40    0  8296 20590 4231 16120  2  1 63 33  0
 2 15 820008 264768 142104 5451888   12    0  8924 20648 4759 16371  2  1 67 30  0
 1 15 820000 265924 142104 5451932   12    0 10188 21078 5360 16339  2  1 70 27  0
 0 16 819984 266160 142104 5451984   72    0  9720 21148 5254 17247  2  1 63 33  0
 2 14 819948 265168 142104 5452248   56    0 10160 20849 5561 18005  3  1 60 36  0
 0 16 819936 262928 142104 5452264   16    0  8144 20670 4849 15991  2  1 59 38  0
 1 15 819900 263952 142112 5452276   48    0 10016 20951 6226 18350  3  1 61 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14 819884 264432 142112 5452184    4    0  9188 21170 5279 16899  2  1 57 40  0
 2 15 819876 262412 142112 5452264    4    0 10436 20995 4928 17751  3  1 59 37  0
 3 14 819868 263944 142112 5452312    0    0  8816 20843 4691 15831  2  1 58 39  0
 0 16 819848 263704 142112 5452328   20    0  8820 20703 5410 16514  2  1 59 37  0
 1 15 819832 264996 142120 5452356   12    0  9116 20586 5017 15418  2  1 57 40  0
 0 16 819828 263776 142120 5452380   12    0  7964 21388 5544 14837  2  1 58 39  0
 0 16 819808 263944 142120 5452440    8    0  9288 21353 5484 17299  2  1 60 37  0
 2 15 819784 263592 142120 5452496   32    0  8672 20964 5292 15834  2  1 62 35  0
 1 15 819756 264708 142120 5452408   16    0  8896 20754 5597 15812  2  1 61 36  0
 0 16 819740 263784 142128 5452452   40    0  9768 20780 4656 17372  2  1 59 38  0
 0 16 819712 264832 142128 5452472   32    0  8320 21456 6153 15411  2  1 61 36  0
 0 16 819704 263876 142128 5452548   28    0  8876 21167 6206 16472  2  1 61 36  0
 1 15 819672 264048 142128 5452556   44    0  8972 20604 4792 16680  2  1 64 33  0
 2 14 819644 263188 142128 5452596   60    0  9516 20835 6037 16632  2  1 61 36  0
 2 15 819596 262816 142136 5452672   32    0  9664 20819 4273 16931  2  1 64 33  0
 2 15 819576 265212 142136 5452816   32    0  9504 21643 5817 17166  2  1 61 35  0
 0 16 819540 262928 142136 5452852   44    0  9340 20915 5560 15935  2  1 63 34  0
 1 16 819504 264080 142136 5452924   28    0  8860 20965 4618 15799  2  1 64 33  0
 1 16 819476 263020 142136 5452972   64    0  9904 20773 5210 16722  2  1 65 32  0
 0 16 819452 263120 142144 5453032    8    0 10792 20502 5260 18514  2  1 62 35  0
 1 15 819428 262028 142144 5453088   36    0  9108 21149 5427 17313  2  1 60 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 819392 261356 142144 5453088   44    0  9148 21021 5638 16447  2  1 65 32  0
 0 16 819360 261764 142144 5453136   24    0 10456 21021 4680 17897  2  1 66 31  0
 0 16 819344 262152 142144 5453328    0    0  8480 20336 3848 14922  2  1 65 32  0
 1 15 819324 291332 142132 5422512   16    4 10544 20705 4707 17757  2  1 65 32  0
 0 16 819300 293156 142132 5422544   16    0  9920 21551 5116 18814  3  1 65 32  0
 2 15 819280 291192 142132 5422572   32    0  9552 21298 6776 17522  3  1 59 37  0
 0 16 819264 290512 142132 5422636   48    0  8384 20802 5055 16145  2  1 63 34  0
 2 14 819240 291176 142132 5422572   44    0  9324 20633 5245 16045  2  1 68 29  0
 1 15 819232 289992 142140 5422568   24    0  9480 20845 4204 15889  2  1 68 29  0
 3 14 819204 291104 142140 5422576   48    0 10736 21163 5150 18349  3  1 64 33  0
 2 14 819192 289960 142140 5422616   24    0  9432 20921 5266 16925  2  1 63 34  0
 1 15 819180 289184 142140 5422616   20    0  9156 20942 5650 16361  3  1 63 33  0
 0 16 819164 289820 142140 5422620   40    0  9208 20910 5466 16448  2  1 64 32  0
 1 15 819136 290184 142148 5422628   52    0  8788 20699 4534 15914  2  1 67 30  0
 0 16 819120 288680 142148 5422680   24    0  9560 21049 4388 16056  2  1 67 30  0
