procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 21  76428 1975688 241052 2067600    0    0 11588     0 3839 21558  2  1 57 41  0
 0 20  76428 1976572 241052 2068188    0    0 12608     0 4084 21413  1  1 62 36  0
 2 17  76428 1977064 241052 2069180    0    0 17108     0 5873 31458  2  1 53 44  0
 0 19  76428 1976488 241052 2069916    0    0 15372     0 5141 27995  2  1 53 45  0
 2 19  76428 1970580 241052 2070552    0    0 77024    24 8324 50918  2  3 53 42  0
 1 20  76428 1978864 241052 2068072    0    0 11664     0 3680 20487  1  1 45 52  0
 1 18  76428 1980328 241052 2068964    0    0 10924     0 3698 19475  1  1 53 44  0
 0 18  76428 1978840 241052 2069688    0    0 16544     0 5487 31171  2  1 60 37  0
 0 18  76428 1978688 241052 2070656    0    0 15024     0 5521 27211  2  1 59 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 20  76428 1965152 241052 2071612    0    0 74304    56 7490 45200  2  2 59 37  0
 1 20  76428 1970316 241052 2069188    0    0 10360     0 3521 18418  1  1 50 48  0
 1 19  76428 1971040 241052 2070124    0    0  8816     0 2877 15560  1  1 56 42  0
 1 17  76428 1973436 241052 2071024    0    0 16432     0 5653 29808  2  1 58 38  0
 0 19  76428 1974312 241052 2071776    0    0 14556     0 4924 27685  2  1 59 38  0
 3 15  76428 1970340 241052 2072940    0    0 73684   230 8730 48141  3  5 52 40  0
 0 21  76428 1974904 241052 2068720    0    0  9724     0 3171 16337  1  1 55 42  0
 0 19  76428 1973812 241052 2069460    0    0 13648     0 4898 25618  2  1 50 47  0
 1 18  76428 1982064 241052 2070224    0    0 16268     0 5827 31629  2  2 54 42  0
 1 17  76428 1980428 241052 2071040    0    0 15416     0 5852 29411  2  1 56 41  0
 1 19  76428 1997108 241052 2071544    0    0 69520    52 8967 46926  2  3 56 40  0
 0 21  76428 2004928 241052 2068144    0    0 12020     0 4033 21650  1  1 56 42  0
 1 17  76428 2005916 241052 2068764    0    0 13752     0 4758 25496  2  1 53 44  0
 1 18  76428 2004716 241052 2069528    0    0 14756     0 4825 27763  2  1 55 41  0
 0 20  76428 2004988 241052 2070372    0    0 14216     0 4943 27241  2  3 57 38  0
 3 17  76428 1993216 241052 2070720    0    0 71864    24 8091 48533  2  2 52 44  0
 0 20  76428 1998240 241052 2067476    0    0 12024     0 4073 21978  1  1 53 45  0
 0 18  76428 1998560 241052 2068252    0    0 13032     0 4377 24101  2  1 50 47  0
 1 18  76428 1998540 241052 2068680    0    0 14040     0 4432 26290  2  1 52 45  0
 3 18  76428 1998364 241052 2069300    0    0 15412     0 5172 28342  2  2 54 43  0
 1 17  76428 1991372 241056 2070600    0    0 68216    24 8215 49252  2  3 53 42  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 19  76428 1997012 241056 2068828    0    0 11068     0 3771 20504  1  1 54 44  0
 1 17  76428 1997032 241056 2069220    0    0 14528     0 5017 28734  2  1 52 45  0
 2 19  76428 2002160 241056 2069840    0    0 11520     0 4311 22326  2  3 51 43  0
 0 20  76428 2001608 241056 2070616    0    0 15332     0 5012 27306  2  1 50 47  0
 0 19  76428 1992512 241060 2071152    0    0 65940   188 7607 46390  2  2 48 48  0
 0 19  76428 1996320 241060 2068776    0    0 10408     0 3445 18679  1  1 53 45  0
 1 17  76428 1994536 241060 2069492    0    0 11916     0 4289 22818  1  1 50 48  0
 1 20  76428 1994612 241060 2070332    0    0 14296     0 4742 26817  2  1 59 38  0
 1 20  76428 1994380 241060 2070832    0    0 16244     0 5465 30240  2  2 58 38  0
 1 18  76428 1986580 241064 2070968    0    0 71292    28 7798 44728  2  3 57 38  0
 0 18  76428 1991268 241064 2068332    0    0 10516     0 3440 18447  1  1 56 42  0
 1 18  76428 1989712 241064 2069092    0    0 11756     0 3701 20677  1  1 59 39  0
 1 19  76428 1987984 241064 2070000    0    0 17064     0 5768 31004  2  1 56 41  0
 0 17  76428 1988012 241064 2070968    0    0 15260     0 5185 28310  2  1 49 48  0
 1 18  76428 1972024 241068 2071588    0    0 75296    44 8052 48393  2  2 54 42  0
 0 19  76428 1979876 241068 2068788    0    0 10648     0 3271 18533  1  1 53 45  0
 2 16  76428 1980952 241068 2069532    0    0 13440     0 4867 25091  2  4 52 41  0
 3 19  76428 1982368 241068 2070216    0    0 14692     0 5085 27507  3  3 48 46  0
 0 20  76428 1982728 241068 2071028    0    0 14124     0 5168 26224  2  1 59 39  0
 1 19  76428 1978516 241072 2071712    0    0 71204   210 8185 47242  2  3 56 39  0
 0 18  76428 1988228 241072 2068888    0    0 11420     0 3793 20973  1  1 53 44  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 18  76428 1988760 241072 2069480    0    0 12272     0 4225 22513  1  1 57 41  0
 3 17  76428 1991604 241072 2070164    0    0 16128     0 5245 28207  2  1 51 46  0
 1 19  76428 1990384 241072 2070844    0    0 15868     0 5243 29332  2  1 51 46  0
 1 17  76428 1986092 241076 2071172    0    0 68052    50 7850 48002  2  2 54 42  0
 0 19  76428 1993852 241076 2068620    0    0 11796     0 4061 22203  2  1 58 40  0
 1 19  76428 1992120 241076 2069168    0    0 13768     0 4710 25725  2  1 56 41  0
 0 20  76428 1991100 241076 2069844    0    0 17484     0 6034 31718  2  1 59 38  0
 0 18  76428 1989124 241076 2070680    0    0 15824     0 5250 29651  2  1 60 36  0
 0 19  76428 1982788 241076 2071392    0    0 71068    24 7843 48561  2  2 59 37  0
 0 12  76428 1987108 241076 2068136    0    0 11244     0 4249 21589  1  1 56 42  0
 0 20  76428 1987604 241076 2068588    0    0 13108     0 4311 22330  1  1 47 51  0
 0 19  76428 1991108 241076 2069204    0    0 16428     0 5696 29944  2  1 56 40  0
 1 16  76428 1992868 241076 2069600    0    0 15780     0 5265 31114  2  2 58 38  0
 1 21  76428 1990876 241076 2070348    0    0 65856    56 7488 46099  2  2 58 38  0
 1 20  76428 1995324 241076 2068652    0    0 11404     0 3715 20114  1  1 60 38  0
