procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 24 140876 1912712 191436 1368736    0    0 175992     0 11038 48022  1  4 49 47  0
 0 21 140872 1804648 191436 1400956    8    0 170408     0 11244 50939  1  3 40 57  0
 0 16 140872 1784020 191440 1392364    0    0 131788    20 8984 36097  0  2 44 53  0
 0 25 140856 1520092 191440 1456288   12    0 63584     0 7275 54534  1  3 44 52  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 11 140852 1330856 191440 1500268    0    0 213876    16 11121 50608  1  4 54 41  0
 0 12 140852 1713012 191440 1582000    0    0 125608     0 7202 20548  1 10 61 29  0
 0 23 140852 1641144 191440 1596052    0    0 166016     0 11080 41140  0  3 57 40  0
 5 18 140840 1475688 191448 1630568   20    0 166764    36 10322 49174  1  5 48 46  0
31 18 140840 1401528 191448 1634196    0    0 187972     0 11595 58417  1  5 49 45  0
 0 22 140840 1320920 191448 1640052    0    0 183712   124 11503 57835  0  4 52 44  0
 0 20 140840 1237036 191448 1646576    0    0 199436     0 11358 61493  0  5 49 46  0
 1 14 140840 1119944 191448 1662200    0    0 176428     0 11297 54034  1  5 49 45  0
 1 20 140840 1077464 191452 1649580    0    0 183124    56 12087 58461  2  7 46 46  0
 0 23 140840 1020344 191452 1636028    0    0 189184     0 10879 51590  1  6 41 52  0
 0 14 140840 1000012 191452 1618488    0    0 172364   160 11097 52368  0  4 52 44  0
 0 14 140832 903136 191452 1601940    0    0 184840     0 13198 78927  0  5 54 41  0
 0 17 140832 904980 191452 1599164    0    0 195776     0 7415 18017  0  1 55 43  0
 0 15 140832 1432284 191460 1684200    0    0 148188    48 10785 42100  0 10 49 40  0
 1 20 140832 1362044 191460 1681696    0    0 159796     0 10871 50870  1  4 46 49  0
 0 21 140832 1326696 191460 1676888    0    0 194184    64 11567 56305  1  7 58 33  0
 1 21 140832 1251324 191460 1667772    0    0 195164     0 11660 62263  1  4 50 45  0
